observations,total_return,annualized_return,annualized_volatility,sharpe_ratio,maximum_drawdown,mean_daily_net_return,positive_net_day_fraction,average_absolute_position,average_daily_turnover,total_turnover,position_changes,asset,method,policy,strategy,cost_bps
304,-0.35331304652156204,-0.4074726847489727,0.6443114654337889,-0.4957643980117448,-0.6482013723681272,-0.0008751416049119111,0.48355263157894735,1.0,0.9046052631578947,275.0,138,ETH,phase4_decay_only_xgb,daily_sign,phase4_decay_only_xgb__daily_sign,10
304,-0.35941791018792113,-0.41418228985049554,0.6437629064536364,-0.5106222632245808,-0.5998999357978563,-0.0009006018418449042,0.5032894736842105,1.0,0.003289473684210526,1.0,1,ETH,buy_and_hold,benchmark,buy_and_hold,10
304,-0.3619519170359653,-0.4169635537000236,0.6446252275715801,-0.5153022705404143,-0.6960803247996354,-0.0009100735436034699,0.506578947368421,1.0,0.4243421052631579,129.0,65,ETH,phase5_reliability_fusion_xgb,cost_aware,phase5_reliability_fusion_xgb__cost_aware,10
304,-0.369872098774373,-0.42564223451478067,0.6438453376960017,-0.5386856233400199,-0.6514620831714693,-0.000950219800195442,0.5098684210526315,1.0,0.04276315789473684,13.0,7,ETH,phase5_reliability_fusion_lstm,daily_sign,phase5_reliability_fusion_lstm__daily_sign,10
304,-0.40882590484501846,-0.4680040977170494,0.643342574220779,-0.6604892318407933,-0.6841092263435833,-0.0011641666922124958,0.48355263157894735,1.0,0.08223684210526316,25.0,13,ETH,phase2_general_lstm,daily_sign,phase2_general_lstm__daily_sign,10
304,-0.40882590484501846,-0.4680040977170494,0.643342574220779,-0.6604892318407933,-0.6841092263435833,-0.0011641666922124958,0.48355263157894735,1.0,0.08223684210526316,25.0,13,ETH,phase2_lstm,daily_sign,phase2_lstm__daily_sign,10
304,-0.45970186708511007,-0.5224880317778491,0.6440065538494614,-0.826689558638256,-0.6895843410516204,-0.0014586123116765903,0.47039473684210525,1.0,0.6217105263157895,189.0,95,ETH,phase1_xgb,cost_aware,phase1_xgb__cost_aware,10
304,-0.47563463451163446,-0.5393444084714258,0.6441285865170137,-0.8849710518042877,-0.7370267798374875,-0.0015617401444032075,0.4769736842105263,1.0,0.8322368421052632,253.0,127,ETH,phase3_crypto_xgb,cost_aware,phase3_crypto_xgb__cost_aware,10
304,-0.47563463451163446,-0.5393444084714258,0.6441285865170137,-0.8849710518042877,-0.7370267798374875,-0.0015617401444032075,0.4769736842105263,1.0,0.8322368421052632,253.0,127,ETH,phase3_reference_xgb,cost_aware,phase3_reference_xgb__cost_aware,10
304,-0.47563463451163446,-0.5393444084714258,0.6441285865170137,-0.8849710518042877,-0.7370267798374875,-0.0015617401444032075,0.4769736842105263,1.0,0.8322368421052632,253.0,127,ETH,phase4_decay_only_xgb,cost_aware,phase4_decay_only_xgb__cost_aware,10
304,-0.46854469963222567,-0.5318559830335537,0.6310395132619757,-0.8873928674068574,-0.6398843818267881,-0.00153419167978239,0.4769736842105263,0.9868421052631579,0.05592105263157895,17.0,9,ETH,phase2_general_lstm,cost_aware,phase2_general_lstm__cost_aware,10
304,-0.46854469963222567,-0.5318559830335537,0.6310395132619757,-0.8873928674068574,-0.6398843818267881,-0.00153419167978239,0.4769736842105263,0.9868421052631579,0.05592105263157895,17.0,9,ETH,phase2_lstm,cost_aware,phase2_lstm__cost_aware,10
304,-0.5262372748074073,-0.5921883585299684,0.6438359063183051,-1.0715237369565005,-0.7224853701114103,-0.0018900971406163446,0.45723684210526316,1.0,0.6611842105263158,201.0,101,ETH,phase1_xgb,daily_sign,phase1_xgb__daily_sign,10
304,-0.5791577152190364,-0.6462504029699004,0.643506814888988,-1.2856749681828998,-0.6787118422874101,-0.0022666865856380246,0.4934210526315789,1.0,1.0361842105263157,315.0,158,ETH,arima,daily_sign,arima__daily_sign,10
304,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0,ETH,random_walk_zero_return,daily_sign,random_walk_zero_return__daily_sign,10
304,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0,ETH,random_walk_zero_return,cost_aware,random_walk_zero_return__cost_aware,10
304,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0,ETH,cash,benchmark,cash,10
